date_key,date,year,month,day,quarter,day_of_week,month_name,week_of_year
20161109,2016-11-09,2016,11,9,4,Wednesday,November,45
20161216,2016-12-16,2016,12,16,4,Friday,December,50
20170326,2017-03-26,2017,3,26,1,Sunday,March,12
20171003,2017-10-03,2017,10,3,4,Tuesday,October,40
20180103,2018-01-03,2018,1,3,1,Wednesday,January,1
20160821,2016-08-21,2016,8,21,3,Sunday,August,33
20170110,2017-01-10,2017,1,10,1,Tuesday,January,2
20170527,2017-05-27,2017,5,27,2,Saturday,May,21
20170705,2017-07-05,2017,7,5,3,Wednesday,July,27
20170901,2017-09-01,2017,9,1,3,Friday,September,35
20171020,2017-10-20,2017,10,20,4,Friday,October,42
20171203,2017-12-03,2017,12,3,4,Sunday,December,48
20171215,2017-12-15,2017,12,15,4,Friday,December,50
20180225,2018-02-25,2018,2,25,1,Sunday,February,8
20180702,2018-07-02,2018,7,2,3,Monday,July,27
20160504,2016-05-04,2016,5,4,2,Wednesday,May,18
20161011,2016-10-11,2016,10,11,4,Tuesday,October,41
20170114,2017-01-14,2017,1,14,1,Saturday,January,2
20170813,2017-08-13,2017,8,13,3,Sunday,August,32
20171208,2017-12-08,2017,12,8,4,Friday,December,49
20180208,2018-02-08,2018,2,8,1,Thursday,February,6
20180219,2018-02-19,2018,2,19,1,Monday,February,8
20170819,2017-08-19,2017,8,19,3,Saturday,August,33
20171119,2017-11-19,2017,11,19,4,Sunday,November,46
20180316,2018-03-16,2018,3,16,1,Friday,March,11
20160105,2016-01-05,2016,1,5,1,Tuesday,January,1
20160327,2016-03-27,2016,3,27,1,Sunday,March,12
20160420,2016-04-20,2016,4,20,2,Wednesday,April,16
20160509,2016-05-09,2016,5,9,2,Monday,May,19
20160517,2016-05-17,2016,5,17,2,Tuesday,May,20
20160529,2016-05-29,2016,5,29,2,Sunday,May,21
20160613,2016-06-13,2016,6,13,2,Monday,June,24
20160930,2016-09-30,2016,9,30,3,Friday,September,39
20180319,2018-03-19,2018,3,19,1,Monday,March,12
20180330,2018-03-30,2018,3,30,1,Friday,March,13
20160221,2016-02-21,2016,2,21,1,Sunday,February,7
20160706,2016-07-06,2016,7,6,3,Wednesday,July,27
20161209,2016-12-09,2016,12,9,4,Friday,December,49
20170909,2017-09-09,2017,9,9,3,Saturday,September,36
20180307,2018-03-07,2018,3,7,1,Wednesday,March,10
20160906,2016-09-06,2016,9,6,3,Tuesday,September,36
20170103,2017-01-03,2017,1,3,1,Tuesday,January,1
20170924,2017-09-24,2017,9,24,3,Sunday,September,38
20171112,2017-11-12,2017,11,12,4,Sunday,November,45
20171217,2017-12-17,2017,12,17,4,Sunday,December,50
20160426,2016-04-26,2016,4,26,2,Tuesday,April,17
20161125,2016-11-25,2016,11,25,4,Friday,November,47
20170412,2017-04-12,2017,4,12,2,Wednesday,April,15
20170424,2017-04-24,2017,4,24,2,Monday,April,17
20170903,2017-09-03,2017,9,3,3,Sunday,September,35
20180123,2018-01-23,2018,1,23,1,Tuesday,January,4
20180618,2018-06-18,2018,6,18,2,Monday,June,25
20160323,2016-03-23,2016,3,23,1,Wednesday,March,12
20160817,2016-08-17,2016,8,17,3,Wednesday,August,33
20160928,2016-09-28,2016,9,28,3,Wednesday,September,39
20161022,2016-10-22,2016,10,22,4,Saturday,October,42
20161111,2016-11-11,2016,11,11,4,Friday,November,45
20170605,2017-06-05,2017,6,5,2,Monday,June,23
20170627,2017-06-27,2017,6,27,2,Tuesday,June,26
20170920,2017-09-20,2017,9,20,3,Wednesday,September,38
20171118,2017-11-18,2017,11,18,4,Saturday,November,46
20171129,2017-11-29,2017,11,29,4,Wednesday,November,48
20180117,2018-01-17,2018,1,17,1,Wednesday,January,3
20160122,2016-01-22,2016,1,22,1,Friday,January,3
20171105,2017-11-05,2017,11,5,4,Sunday,November,44
20171204,2017-12-04,2017,12,4,4,Monday,December,49
20180712,2018-07-12,2018,7,12,3,Thursday,July,28
20160216,2016-02-16,2016,2,16,1,Tuesday,February,7
20160528,2016-05-28,2016,5,28,2,Saturday,May,21
20160621,2016-06-21,2016,6,21,2,Tuesday,June,25
20160719,2016-07-19,2016,7,19,3,Tuesday,July,29
20170206,2017-02-06,2017,2,6,1,Monday,February,6
20170314,2017-03-14,2017,3,14,1,Tuesday,March,11
20170426,2017-04-26,2017,4,26,2,Wednesday,April,17
20170522,2017-05-22,2017,5,22,2,Monday,May,21
20170523,2017-05-23,2017,5,23,2,Tuesday,May,21
20170712,2017-07-12,2017,7,12,3,Wednesday,July,28
20170904,2017-09-04,2017,9,4,3,Monday,September,36
20180118,2018-01-18,2018,1,18,1,Thursday,January,3
20180210,2018-02-10,2018,2,10,1,Saturday,February,6
20180312,2018-03-12,2018,3,12,1,Monday,March,11
20160205,2016-02-05,2016,2,5,1,Friday,February,5
20160402,2016-04-02,2016,4,2,2,Saturday,April,13
20160619,2016-06-19,2016,6,19,2,Sunday,June,24
20161101,2016-11-01,2016,11,1,4,Tuesday,November,44
20161225,2016-12-25,2016,12,25,4,Sunday,December,51
20170105,2017-01-05,2017,1,5,1,Thursday,January,1
20170208,2017-02-08,2017,2,8,1,Wednesday,February,6
20170802,2017-08-02,2017,8,2,3,Wednesday,August,31
20170811,2017-08-11,2017,8,11,3,Friday,August,32
20170927,2017-09-27,2017,9,27,3,Wednesday,September,39
20171109,2017-11-09,2017,11,9,4,Thursday,November,45
20171113,2017-11-13,2017,11,13,4,Monday,November,46
20160731,2016-07-31,2016,7,31,3,Sunday,July,30
20180329,2018-03-29,2018,3,29,1,Thursday,March,13
20160112,2016-01-12,2016,1,12,1,Tuesday,January,2
